admit,gre,gpa,rank,,,
0,380,3.61,3,,-1.45290046,0
1,660,3.67,3,,-0.76395962,0
1,800,4,1,,0.933677,1
1,640,3.19,4,,-1.74283734,0
0,520,2.93,4,,-2.22014098,0
1,760,3,2,,-0.495128,0
1,560,2.98,1,,-0.40943728,0
0,400,3.08,2,,-1.25880688,0
1,540,3.39,3,,-1.25680354,0
0,700,3.92,2,,0.08208488,1
0,800,4,4,,-0.746416,0
0,440,3.22,1,,-0.49823392,0
1,760,4,1,,0.841917,1
0,700,3.08,2,,-0.57060688,0
1,700,4,1,,0.704277,1
0,480,3.44,3,,-1.35559284,0
0,780,3.87,4,,-0.89330782,0
0,360,2.56,3,,-2.31464516,0
0,800,3.75,2,,0.1793925,1
1,540,3.81,1,,0.18960434,1
0,500,3.17,3,,-1.51950662,0
1,660,3.63,2,,-0.23500918,0
0,600,2.82,4,,-2.12209252,0
0,680,3.19,4,,-1.65107734,0
1,760,3.35,2,,-0.2231731,0
1,800,3.66,1,,0.66949224,1
1,620,3.61,1,,0.21772154,1
1,520,3.74,4,,-1.59075964,0
1,780,3.22,2,,-0.27830492,0
0,520,3.29,1,,-0.26032294,0
0,540,3.78,4,,-1.51379908,0
0,760,3.35,3,,-0.7832041,0
0,600,3.4,3,,-1.1113934,0
1,800,4,3,,-0.186385,0
0,360,3.14,1,,-0.74391504,0
0,400,3.05,2,,-1.2821173,0
0,580,3.25,1,,-0.1537635,0
0,520,2.9,3,,-1.6834204,0
1,500,3.13,2,,-0.99055618,0
1,520,2.68,3,,-1.85436348,0
0,560,2.42,2,,-1.40459612,0
1,580,3.32,2,,-0.65940352,0
1,600,3.15,2,,-0.7456159,0
0,500,3.31,3,,-1.41072466,0
0,700,2.94,2,,-0.67938884,0
1,460,3.45,3,,-1.3937027,0
1,580,3.46,2,,-0.55062156,0
0,500,2.97,4,,-2.23494042,0
0,440,2.48,4,,-2.75331728,0
0,400,3.35,3,,-1.6090441,0
0,640,3.86,3,,-0.66220696,0
0,440,3.13,4,,-2.24825818,0
0,740,3.37,4,,-1.37357482,0
1,680,3.27,2,,-0.46885422,0
0,660,3.34,3,,-1.02037424,0
1,740,4,3,,-0.324025,0
0,560,3.19,3,,-1.36632634,0
0,380,2.94,3,,-1.97349984,0
0,400,3.65,2,,-0.8159089,0
0,600,2.82,4,,-2.12209252,0
1,620,3.18,2,,-0.67642548,0
0,560,3.32,4,,-1.82534552,0
0,640,3.67,3,,-0.80983962,0
